Potentiels de membrane sur l intervalle de temps [0,30]
P1(0) = 1.99501  P2(0) = 0
P1(0.1) = 3.98007  P2(0.1) = 0
P1(0.2) = 5.95522  P2(0.2) = 0
P1(0.3) = 7.92053  P2(0.3) = 0
P1(0.4) = 9.87604  P2(0.4) = 0
P1(0.5) = 11.8218  P2(0.5) = 0
P1(0.6) = 13.7578  P2(0.6) = 0
P1(0.7) = 15.6842  P2(0.7) = 0
P1(0.8) = 17.601  P2(0.8) = 0
P1(0.9) = 19.5082  P2(0.9) = 0
P1(1) = 0  P2(1) = 0
P1(1.1) = 0  P2(1.1) = 0
P1(1.2) = 0  P2(1.2) = 0
P1(1.3) = 0  P2(1.3) = 0
P1(1.4) = 0  P2(1.4) = 0
P1(1.5) = 0  P2(1.5) = 0
P1(1.6) = 0  P2(1.6) = 0.2
P1(1.7) = 0  P2(1.7) = 0.199002
P1(1.8) = 0  P2(1.8) = 0.19801
P1(1.9) = 0  P2(1.9) = 0.197022
P1(2) = 0  P2(2) = 0.19604
P1(2.1) = 1.99501  P2(2.1) = 0.195062
P1(2.2) = 3.98007  P2(2.2) = 0.194089
P1(2.3) = 5.95522  P2(2.3) = 0.193121
P1(2.4) = 7.92053  P2(2.4) = 0.192158
P1(2.5) = 9.87604  P2(2.5) = 0.191199
P1(2.6) = 11.8218  P2(2.6) = 0.190246
P1(2.7) = 13.7578  P2(2.7) = 0.189297
P1(2.8) = 15.6842  P2(2.8) = 0.188353
P1(2.9) = 17.601  P2(2.9) = 0.187413
P1(3) = 19.5082  P2(3) = 0.186479
P1(3.1) = 0  P2(3.1) = 0.185549
P1(3.2) = 0  P2(3.2) = 0.184623
P1(3.3) = 0  P2(3.3) = 0.183702
P1(3.4) = 0  P2(3.4) = 0.182786
P1(3.5) = 0  P2(3.5) = 0.181875
P1(3.6) = 0  P2(3.6) = 0.180967
P1(3.7) = 0  P2(3.7) = 0.380065
P1(3.8) = 0  P2(3.8) = 0.378169
P1(3.9) = 0  P2(3.9) = 0.376283
P1(4) = 0  P2(4) = 0.374406
P1(4.1) = 0  P2(4.1) = 0.372539
P1(4.2) = 1.99501  P2(4.2) = 0.370681
P1(4.3) = 3.98007  P2(4.3) = 0.368832
P1(4.4) = 5.95522  P2(4.4) = 0.366993
P1(4.5) = 7.92053  P2(4.5) = 0.365162
P1(4.6) = 9.87604  P2(4.6) = 0.363341
P1(4.7) = 11.8218  P2(4.7) = 0.361529
P1(4.8) = 13.7578  P2(4.8) = 0.359726
P1(4.9) = 15.6842  P2(4.9) = 0.357932
P1(5) = 17.601  P2(5) = 0.356146
P1(5.1) = 19.5082  P2(5.1) = 0.35437
P1(5.2) = 0  P2(5.2) = 0.352603
P1(5.3) = 0  P2(5.3) = 0.350844
P1(5.4) = 0  P2(5.4) = 0.349094
P1(5.5) = 0  P2(5.5) = 0.347353
P1(5.6) = 0  P2(5.6) = 0.345621
P1(5.7) = 0  P2(5.7) = 0.343897
P1(5.8) = 0  P2(5.8) = 0.542182
P1(5.9) = 0  P2(5.9) = 0.539478
P1(6) = 0  P2(6) = 0.536787
P1(6.1) = 0  P2(6.1) = 0.53411
P1(6.2) = 0  P2(6.2) = 0.531446
P1(6.3) = 1.99501  P2(6.3) = 0.528795
P1(6.4) = 3.98007  P2(6.4) = 0.526158
P1(6.5) = 5.95522  P2(6.5) = 0.523534
P1(6.6) = 7.92053  P2(6.6) = 0.520923
P1(6.7) = 9.87604  P2(6.7) = 0.518324
P1(6.8) = 11.8218  P2(6.8) = 0.515739
P1(6.9) = 13.7578  P2(6.9) = 0.513167
P1(7) = 15.6842  P2(7) = 0.510608
P1(7.1) = 17.601  P2(7.1) = 0.508061
P1(7.2) = 19.5082  P2(7.2) = 0.505527
P1(7.3) = 0  P2(7.3) = 0.503006
P1(7.4) = 0  P2(7.4) = 0.500497
P1(7.5) = 0  P2(7.5) = 0.498001
P1(7.6) = 0  P2(7.6) = 0.495517
P1(7.7) = 0  P2(7.7) = 0.493045
P1(7.8) = 0  P2(7.8) = 0.490586
P1(7.9) = 0  P2(7.9) = 0.68814
P1(8) = 0  P2(8) = 0.684707
P1(8.1) = 0  P2(8.1) = 0.681292
P1(8.2) = 0  P2(8.2) = 0.677894
P1(8.3) = 0  P2(8.3) = 0.674513
P1(8.4) = 1.99501  P2(8.4) = 0.671149
P1(8.5) = 3.98007  P2(8.5) = 0.667802
P1(8.6) = 5.95522  P2(8.6) = 0.664471
P1(8.7) = 7.92053  P2(8.7) = 0.661157
P1(8.8) = 9.87604  P2(8.8) = 0.65786
P1(8.9) = 11.8218  P2(8.9) = 0.654579
P1(9) = 13.7578  P2(9) = 0.651314
P1(9.1) = 15.6842  P2(9.1) = 0.648065
P1(9.2) = 17.601  P2(9.2) = 0.644833
P1(9.3) = 19.5082  P2(9.3) = 0.641617
P1(9.4) = 0  P2(9.4) = 0.638417
P1(9.5) = 0  P2(9.5) = 0.635233
P1(9.6) = 0  P2(9.6) = 0.632065
P1(9.7) = 0  P2(9.7) = 0.628912
P1(9.8) = 0  P2(9.8) = 0.625775
P1(9.9) = 0  P2(9.9) = 0.622654
P1(10) = 0  P2(10) = 0.819549
P1(10.1) = 0  P2(10.1) = 0.815461
P1(10.2) = 0  P2(10.2) = 0.811394
P1(10.3) = 0  P2(10.3) = 0.807347
P1(10.4) = 0  P2(10.4) = 0.803321
P1(10.5) = 1.99501  P2(10.5) = 0.799314
P1(10.6) = 3.98007  P2(10.6) = 0.795328
P1(10.7) = 5.95522  P2(10.7) = 0.791361
P1(10.8) = 7.92053  P2(10.8) = 0.787414
P1(10.9) = 9.87604  P2(10.9) = 0.783487
P1(11) = 11.8218  P2(11) = 0.779579
P1(11.1) = 13.7578  P2(11.1) = 0.775691
P1(11.2) = 15.6842  P2(11.2) = 0.771822
P1(11.3) = 17.601  P2(11.3) = 0.767973
P1(11.4) = 19.5082  P2(11.4) = 0.764142
P1(11.5) = 0  P2(11.5) = 0.760331
P1(11.6) = 0  P2(11.6) = 0.756539
P1(11.7) = 0  P2(11.7) = 0.752766
P1(11.8) = 0  P2(11.8) = 0.749011
P1(11.9) = 0  P2(11.9) = 0.745276
P1(12) = 0  P2(12) = 0.741559
P1(12.1) = 0  P2(12.1) = 0.93786
P1(12.2) = 0  P2(12.2) = 0.933182
P1(12.3) = 0  P2(12.3) = 0.928528
P1(12.4) = 0  P2(12.4) = 0.923897
P1(12.5) = 0  P2(12.5) = 0.919289
P1(12.6) = 1.99501  P2(12.6) = 0.914704
P1(12.7) = 3.98007  P2(12.7) = 0.910142
P1(12.8) = 5.95522  P2(12.8) = 0.905603
P1(12.9) = 7.92053  P2(12.9) = 0.901086
P1(13) = 9.87604  P2(13) = 0.896592
P1(13.1) = 11.8218  P2(13.1) = 0.89212
P1(13.2) = 13.7578  P2(13.2) = 0.887671
P1(13.3) = 15.6842  P2(13.3) = 0.883243
P1(13.4) = 17.601  P2(13.4) = 0.878838
P1(13.5) = 19.5082  P2(13.5) = 0.874455
P1(13.6) = 0  P2(13.6) = 0.870093
P1(13.7) = 0  P2(13.7) = 0.865754
P1(13.8) = 0  P2(13.8) = 0.861436
P1(13.9) = 0  P2(13.9) = 0.857139
P1(14) = 0  P2(14) = 0.852864
P1(14.1) = 0  P2(14.1) = 0.848611
P1(14.2) = 0  P2(14.2) = 1.04438
P1(14.3) = 0  P2(14.3) = 1.03917
P1(14.4) = 0  P2(14.4) = 1.03399
P1(14.5) = 0  P2(14.5) = 1.02883
P1(14.6) = 0  P2(14.6) = 1.0237
P1(14.7) = 1.99501  P2(14.7) = 1.01859
P1(14.8) = 3.98007  P2(14.8) = 1.01351
P1(14.9) = 5.95522  P2(14.9) = 1.00846
P1(15) = 7.92053  P2(15) = 1.00343
P1(15.1) = 9.87604  P2(15.1) = 0.998423
P1(15.2) = 11.8218  P2(15.2) = 0.993443
