Membrane potentials for each step (in ms) [0,10000]
P1(0)=0 P2(0)=0 P115(0)=0 P116(0)=0
P1(0.1)=0 P2(0.1)=1 P115(0.1)=0 P116(0.1)=0
P1(0.2)=0 P2(0.2)=1 P115(0.2)=0 P116(0.2)=0
P1(0.3)=0 P2(0.3)=1 P115(0.3)=0 P116(0.3)=0
P1(0.4)=1 P2(0.4)=1 P115(0.4)=0 P116(0.4)=1
P1(0.5)=1 P2(0.5)=1 P115(0.5)=0 P116(0.5)=3
P1(0.6)=1 P2(0.6)=1 P115(0.6)=0 P116(0.6)=3
P1(0.7)=3 P2(0.7)=1 P115(0.7)=0 P116(0.7)=3
P1(0.8)=3 P2(0.8)=1 P115(0.8)=0 P116(0.8)=3
P1(0.9)=3 P2(0.9)=1 P115(0.9)=0 P116(0.9)=3
P1(1)=4 P2(1)=2 P115(1)=0 P116(1)=3
P1(1.1)=4 P2(1.1)=2 P115(1.1)=1 P116(1.1)=3
P1(1.2)=4 P2(1.2)=3 P115(1.2)=1 P116(1.2)=3
P1(1.3)=4 P2(1.3)=3 P115(1.3)=1 P116(1.3)=3
P1(1.4)=4 P2(1.4)=3 P115(1.4)=1 P116(1.4)=4
P1(1.5)=4 P2(1.5)=3 P115(1.5)=1 P116(1.5)=5
P1(1.6)=4 P2(1.6)=3 P115(1.6)=1 P116(1.6)=5
P1(1.7)=5 P2(1.7)=3 P115(1.7)=1 P116(1.7)=5
P1(1.8)=5 P2(1.8)=3 P115(1.8)=1 P116(1.8)=5
P1(1.9)=6 P2(1.9)=3 P115(1.9)=1 P116(1.9)=5
P1(2)=6 P2(2)=4 P115(2)=1 P116(2)=5
P1(2.1)=6 P2(2.1)=4 P115(2.1)=1 P116(2.1)=6
P1(2.2)=6 P2(2.2)=4 P115(2.2)=2 P116(2.2)=6
P1(2.3)=6 P2(2.3)=4 P115(2.3)=2 P116(2.3)=6
P1(2.4)=6 P2(2.4)=4 P115(2.4)=2 P116(2.4)=6
P1(2.5)=6 P2(2.5)=5 P115(2.5)=2 P116(2.5)=6
P1(2.6)=6 P2(2.6)=5 P115(2.6)=2 P116(2.6)=6
P1(2.7)=6 P2(2.7)=6 P115(2.7)=2 P116(2.7)=6
P1(2.8)=7 P2(2.8)=6 P115(2.8)=3 P116(2.8)=6
P1(2.9)=7 P2(2.9)=7 P115(2.9)=3 P116(2.9)=6
P1(3)=7 P2(3)=7 P115(3)=4 P116(3)=6
P1(3.1)=7 P2(3.1)=7 P115(3.1)=4 P116(3.1)=6
P1(3.2)=7 P2(3.2)=7 P115(3.2)=4 P116(3.2)=7
P1(3.3)=8 P2(3.3)=8 P115(3.3)=5 P116(3.3)=8
P1(3.4)=9 P2(3.4)=8 P115(3.4)=5 P116(3.4)=8
P1(3.5)=9 P2(3.5)=8 P115(3.5)=5 P116(3.5)=9
P1(3.6)=9 P2(3.6)=8 P115(3.6)=5 P116(3.6)=10
